"","ID","formacao.continuada","pedagogica"
"1","Obs3","Formação continuada - Concluída",1.25
"2","Obs6","Formação continuada - Concluída",1.75
"3","Obs11","Formação continuada - Concluída",3.75
"4","Obs14","Formação continuada - Concluída",1.75
"5","Obs15","Formação continuada - Concluída",4.25
"6","Obs16","Formação continuada - Concluída",4
"7","Obs17","Formação continuada - Concluída",3.75
"8","Obs20","Formação continuada - Concluída",3.25
"9","Obs21","Formação continuada - Concluída",2.25
"10","Obs24","Formação continuada - Em andamento",2.5
"11","Obs29","Formação continuada - Concluída",1.5
"12","Obs35","Formação continuada - Concluída",2.25
"13","Obs37","Formação continuada - Concluída",3.5
"14","Obs40","Formação continuada - Concluída",1.25
"15","Obs43","Doutorado - Concluído",3.5
"16","Obs48","Formação continuada - Em andamento",3.75
"17","Obs55","Doutorado - Concluído",1.5
"18","Obs59","Doutorado - Concluído",1.25
"19","Obs62","Doutorado - Concluído",4.5
"20","Obs65","Doutorado - Concluído",3
"21","Obs66","Formação continuada - Concluída",4
"22","Obs67","Doutorado - Concluído",3.75
"23","Obs74","Formação continuada - Em andamento",4.25
"24","Obs76","Formação continuada - Concluída",2.75
"25","Obs80","Formação continuada - Em andamento",2
"26","Obs86","Formação continuada - Concluída",2.25
"27","Obs87","Doutorado - Concluído",1.25
"28","Obs105","Formação continuada - Concluída",1.25
"29","Obs106","Formação continuada - Concluída",3.75
"30","Obs111","Formação continuada - Concluída",1.5
"31","Obs113","Formação continuada - Concluída",1.75
"32","Obs120","Doutorado - Concluído",3
"33","Obs125","Doutorado - Concluído",2.5
"34","Obs129","Formação continuada - Concluída",3.5
"35","Obs130","Doutorado - Concluído",4
"36","Obs136","Formação continuada - Concluída",2.5
"37","Obs149","Formação continuada - Concluída",1.5
"38","Obs152","Formação continuada - Concluída",1.25
"39","Obs154","Formação continuada - Concluída",1.25
"40","Obs158","Formação continuada - Concluída",2
"41","Obs164","Formação continuada - Concluída",1.75
"42","Obs165","Doutorado - Concluído",2
"43","Obs167","Doutorado - Concluído",3
"44","Obs169","Doutorado - Concluído",2.25
"45","Obs171","Formação continuada - Concluída",3.75
"46","Obs173","Doutorado - Concluído",2
"47","Obs174","Doutorado - Concluído",1
"48","Obs176","Formação continuada - Em andamento",1
"49","Obs181","Doutorado - Concluído",2.5
"50","Obs186","Formação continuada - Concluída",2.75
"51","Obs192","Formação continuada - Concluída",2
"52","Obs194","Formação continuada - Concluída",3.25
"53","Obs196","Formação continuada - Concluída",3.5
"54","Obs199","Formação continuada - Concluída",2.25
"55","Obs200","Doutorado - Concluído",1.5
"56","Obs203","Formação continuada - Concluída",3.5
"57","Obs205","Formação continuada - Concluída",2.75
"58","Obs208","Doutorado - Concluído",4
"59","Obs211","Doutorado - Concluído",3.75
"60","Obs217","Formação continuada - Concluída",3.5
"61","Obs219","Doutorado - Concluído",1
"62","Obs220","Formação continuada - Em andamento",2.75
"63","Obs222","Formação continuada - Concluída",3.25
"64","Obs223","Formação continuada - Concluída",1.25
"65","Obs224","Formação continuada - Concluída",3
"66","Obs228","Formação continuada - Concluída",2.75
"67","Obs230","Doutorado - Concluído",3.75
"68","Obs234","Doutorado - Concluído",4.75
"69","Obs237","Formação continuada - Em andamento",2
"70","Obs243","Formação continuada - Concluída",2.75
"71","Obs245","Formação continuada - Em andamento",2.5
"72","Obs247","Formação continuada - Em andamento",1.25
"73","Obs252","Formação continuada - Concluída",2.5
"74","Obs257","Doutorado - Concluído",1.5
"75","Obs261","Formação continuada - Concluída",2.25
"76","Obs262","Formação continuada - Concluída",2.25
"77","Obs265","Formação continuada - Em andamento",2
"78","Obs269","Formação continuada - Em andamento",2.75
"79","Obs273","Formação continuada - Em andamento",2.75
"80","Obs274","Formação continuada - Em andamento",2.25
"81","Obs275","Doutorado - Concluído",1.25
"82","Obs278","Doutorado - Concluído",1.75
"83","Obs279","Doutorado - Concluído",2
"84","Obs282","Doutorado - Concluído",3.25
"85","Obs286","Formação continuada - Concluída",1
"86","Obs287","Formação continuada - Concluída",3
"87","Obs293","Formação continuada - Em andamento",1.5
"88","Obs294","Formação continuada - Em andamento",2
"89","Obs298","Formação continuada - Em andamento",2.5
"90","Obs300","Formação continuada - Em andamento",2
"91","Obs315","Doutorado - Concluído",1.25
"92","Obs330","Formação continuada - Em andamento",1.75
